NMH,dm2,theta13,theta23,deltacp,nyear,NMHFit,dm2Fit,theta13Fit,theta23Fit,deltacpFit,Showers,Tracks,Edm,ncalls,normNCFit,nuenuebarFit,numunumubarFit,nuenumuFit,spectralFit,escaleFit,sigmaShowers,sigmaTracks,sigma
1,0.00242,8.54,40,0,3,-1,0.00236564,8.54,39.8949,0,1,1,3.29031e-06,39,1,0,0,0,0,0,3.95123,1.46853,4.2153
1,0.00242,8.54,40,0,3,-1,0.00236482,8.54,50.2027,0,1,1,8.86212e-05,38,1,0,0,0,0,0,3.3318,2.3061,4.05204
1,0.00242,8.54,41,0,3,-1,0.00236597,8.54,40.9945,0,1,1,3.12526e-05,25,1,0,0,0,0,0,4.23384,1.50175,4.49229
1,0.00242,8.54,41,0,3,-1,0.0023672,8.54,49.2958,0,1,1,2.89668e-05,27,1,0,0,0,0,0,3.08052,1.81524,3.57557
1,0.00242,8.54,42,0,3,-1,0.00236572,8.54,42.2918,0,1,1,0.000202101,35,1,0,0,0,0,0,4.50169,1.52505,4.753
1,0.00242,8.54,42,0,3,-1,0.0023693,8.54,48.4886,0,1,1,0.000440124,29,1,0,0,0,0,0,3.15399,1.50776,3.49584
1,0.00242,8.54,43,0,3,-1,0.00237044,8.54,47.8517,0,1,1,0.000213024,67,1,0,0,0,0,0,3.46354,1.57875,3.8064
1,0.00242,8.54,43,0,3,-1,0.00237071,8.54,47.8566,0,1,1,1.67604e-05,35,1,0,0,0,0,0,3.46301,1.57989,3.80637
1,0.00242,8.54,44,0,3,-1,0.00237279,8.54,47.517,0,1,1,0.000120892,62,1,0,0,0,0,0,3.86745,1.99054,4.34965
1,0.00242,8.54,44,0,3,-1,0.00237247,8.54,47.5227,0,1,1,4.57152e-05,35,1,0,0,0,0,0,3.86547,1.99437,4.34964
1,0.00242,8.54,45,0,3,-1,0.00237423,8.54,47.4693,0,1,1,0.000450776,54,1,0,0,0,0,0,4.28597,2.46365,4.9436
1,0.00242,8.54,45,0,3,-1,0.00237402,8.54,47.4843,0,1,1,2.10766e-05,36,1,0,0,0,0,0,4.28006,2.47382,4.94355
1,0.00242,8.54,46,0,3,-1,0.00237515,8.54,47.6955,0,1,1,3.69393e-06,57,1,0,0,0,0,0,4.6878,2.84401,5.48305
1,0.00242,8.54,46,0,3,-1,0.00237516,8.54,47.697,0,1,1,9.36573e-06,35,1,0,0,0,0,0,4.6871,2.84517,5.48305
1,0.00242,8.54,47,0,3,-1,0.00237595,8.54,48.1216,0,1,1,6.19067e-06,58,1,0,0,0,0,0,5.07795,3.08386,5.94103
1,0.00242,8.54,47,0,3,-1,0.00237598,8.54,48.1214,0,1,1,1.04574e-06,35,1,0,0,0,0,0,5.07795,3.08387,5.94103
1,0.00242,8.54,48,0,3,-1,0.00237652,8.54,48.7239,0,1,1,5.87215e-05,66,1,0,0,0,0,0,5.43999,3.2357,6.32956
1,0.00242,8.54,48,0,3,-1,0.00237658,8.54,48.7248,0,1,1,3.75762e-05,28,1,0,0,0,0,0,5.4394,3.2367,6.32956
1,0.00242,8.54,49,0,3,-1,0.00237756,8.54,49.4582,0,1,1,2.64119e-05,68,1,0,0,0,0,0,5.76663,3.34957,6.66885
1,0.00242,8.54,49,0,3,-1,0.00237773,8.54,49.4547,0,1,1,0.000196171,29,1,0,0,0,0,0,5.769,3.34549,6.66886
1,0.00242,8.54,50,0,3,-1,0.00236486,8.54,41.4182,0,1,1,0.000375165,28,1,0,0,0,0,0,10.362,3.24408,10.858
1,0.00242,8.54,50,0,3,-1,0.00237877,8.54,50.2758,0,1,1,0.000413609,30,1,0,0,0,0,0,6.06346,3.44593,6.97423
